session_id,session_size,session_avg_price,profile,session_cities,session_neighborhoods,session_bedrooms_med,session_bathrooms_med,session_suites_med,session_parking_med,session_area_med,session_unit_types,recommendations,rec_avg_price,price_diff_pct,price_match,neighborhood_match,city_match,session_bedrooms_median,rec_bedrooms_median,bedrooms_match,bathrooms_match,parking_match,area_match,unit_type_match,avg_similarity,similarity_status,error
S_2084912,5,200000.0,ECONOMICO,{'Vitória': 1},{'Centro': 1},3.0,3.0,2.0,2.0,90.0,{'APARTMENT': 1},"[18193, 27802, 35833, 32816, 19838]",1259000.0,529.5,GRANDE,NAO,NAO,3.0,3.0,IGUAL,PROXIMO,IGUAL,MODERADO,SIM,32.99514396429097,MODERADO,
S_2282263,5,2200.0,ECONOMICO,{'Vitória': 2},"{'Jardim Camburi': 1, 'Enseada do Suá': 1}",1.5,1.0,1.0,1.0,51.5,{'APARTMENT': 2},,,,,,,,,,,,,,,,no_recommendations
S_289322,5,2500.0,ECONOMICO,{'Vila Velha': 1},{'Praia de Itaparica': 1},2.0,2.0,1.0,1.0,70.0,{'APARTMENT': 1},"[18193, 27802, 35833, 32816, 19838]",1259000.0,50260.0,GRANDE,SIM,SIM,2.0,3.0,PROXIMO,IGUAL,PROXIMO,GRANDE,SIM,46.86695908103882,MODERADO,
S_2134468,5,800.0,ECONOMICO,{'Cariacica': 1},{'Campo Grande': 1},1.0,1.0,,,30.0,{'APARTMENT': 1},,,,,,,,,,,,,,,,no_recommendations
S_1983716,5,1114056.0,LUXO,{'Vitória': 1},{'Jardim Camburi': 1},3.0,2.0,3.0,1.0,85.0,{'APARTMENT': 1},"[18193, 27802, 35833, 32816, 19838]",1259000.0,13.010477031675247,SIMILAR,NAO,NAO,3.0,3.0,IGUAL,IGUAL,PROXIMO,MODERADO,SIM,36.327056759540696,MODERADO,
S_2849030,5,250000.0,ECONOMICO,{'Serra': 1},{'Feu Rosa': 1},3.0,1.0,1.0,1.0,190.0,{'HOME': 1},"[18193, 27802, 35833, 32816, 19838]",1259000.0,403.59999999999997,GRANDE,NAO,SIM,3.0,3.0,IGUAL,PROXIMO,PROXIMO,MODERADO,SIM,37.21221607708094,MODERADO,
S_3536723,5,1745.0,ECONOMICO,{'Vila Velha': 2},{'Praia da Costa': 2},2.5,2.0,0.5,1.0,90.0,{'APARTMENT': 2},"[18193, 27802, 35833, 32816, 19838]",1259000.0,72048.9971346705,GRANDE,SIM,SIM,2.5,3.0,PROXIMO,IGUAL,PROXIMO,MODERADO,SIM,45.314923080773625,MODERADO,
S_3042151,5,140000.0,ECONOMICO,{'Serra': 1},{'Conjunto Jacaraípe': 1},2.0,1.0,0.0,1.0,57.0,{'APARTMENT': 1},"[18193, 27802, 35833, 32816, 19838]",1259000.0,799.2857142857143,GRANDE,NAO,SIM,2.0,3.0,PROXIMO,PROXIMO,PROXIMO,GRANDE,SIM,33.78958695853875,MODERADO,
S_4693943,5,500000.0,PADRAO,{'Guarapari': 1},{'Meaípe': 1},3.0,3.0,1.0,2.0,80.0,{'HOME': 1},"[18193, 27802, 35833, 32816, 19838]",1259000.0,151.8,GRANDE,NAO,SIM,3.0,3.0,IGUAL,PROXIMO,IGUAL,GRANDE,SIM,39.08880593300483,MODERADO,
S_2356148,4,200000.0,ECONOMICO,{'Vila Velha': 2},"{'Barra do Jucu': 1, 'IBES': 1}",3.0,1.5,1.0,1.5,150.0,{'HOME': 2},"[18193, 27802, 35833, 19838, 6679]",1251000.0,525.5,GRANDE,NAO,SIM,3.0,3.5,PROXIMO,PROXIMO,PROXIMO,SIMILAR,SIM,48.30174622537576,MODERADO,
S_1395760,5,695000.0,PADRAO,{'Vitória': 1},{'Jardim Camburi': 1},3.0,2.0,1.0,2.0,71.0,{'APARTMENT': 1},"[18193, 27802, 35833, 32816, 19838]",1259000.0,81.15107913669065,GRANDE,NAO,NAO,3.0,3.0,IGUAL,IGUAL,IGUAL,GRANDE,SIM,37.48754816072308,MODERADO,
S_1426447,5,410000.0,PADRAO,{'Vitória': 1},{'Jardim da Penha': 1},2.0,2.0,,1.0,84.0,{'APARTMENT': 1},"[18193, 27802, 35833, 32816, 19838]",1259000.0,207.07317073170734,GRANDE,NAO,NAO,2.0,3.0,PROXIMO,IGUAL,PROXIMO,GRANDE,SIM,33.210217833183336,MODERADO,
S_3192940,5,350000.0,PADRAO,{'Guarapari': 1},{'Centro': 1},2.0,2.0,0.0,1.0,75.0,{'APARTMENT': 1},"[18193, 27802, 35833, 32816, 19838]",1259000.0,259.7142857142857,GRANDE,NAO,SIM,2.0,3.0,PROXIMO,IGUAL,PROXIMO,GRANDE,SIM,35.90805441797199,MODERADO,
